Neighborhood	Class	Subclass	Group	preferred_name
Subpallium GABA-Glut	CN GABA-Glut	CN GABA-Glut	GPi Shell	
	Cx GABA	ACx MEIS2 GABA		
	M Dopa	M Dopa		
		STR SST-CHODL GABA	STR SST-CHODL GABA	
		OPC	OPC	
		SMC	SMC	
		Macrophage	BAM	
		F M Glut	VTR-HTH Glut	VTR-HTH Glut
		OT Granular GABA	OT D1 ICj	
		VLMC	VLMC	
		CN LAMP5-LHX6 GABA	LAMP5-LHX6 GABA	
		STR SST GABA	STR SST-ADARB2 GABA	
		CN VIP GABA	VIP GABA	
		Pericyte	Pericyte	
		COP	COP	
		CN LAMP5-CXCL14 GABA	LAMP5-CXCL14 GABA	
		CN MEIS2 GABA	GPe MEIS2-SOX6 GABA	
		Monocyte	Monocyte	
		Endo	Endo	
		Ependymal	Ependymal	
		CN ONECUT1 GABA	GPi Core	
		Microglia	Microglia	
